,Atlanta,Boston,Brooklyn,Charlotte,Chicago,Cleveland,Dallas,Denver,Detroit,Golden State,Houston,Indiana,LA Clippers,Los Angeles,Memphis,Miami,Milwaukee,Minnesota,New Orleans,New York,Oklahoma City,Orlando,Philadelphia,Phoenix,Portland,Sacramento,San Antonio,Toronto,Utah,Washington
Atlanta,0,937,747,227,590,555,721,1212,622,2126,701,427,1936,1936,336,607,670,909,425,749,756,403,664,1590,2170,2085,879,735,1582,543
Boston,937,0,191,722,852,550,1551,1768,621,2685,1606,806,2595,2595,1136,1259,857,1122,1360,188,1494,1117,274,2298,2535,2627,1764,430,2096,394
Brooklyn,747,191,0,531,716,406,1373,1632,498,2560,1420,646,2452,2452,956,1091,736,1020,1170,5,1327,939,83,2144,2444,2504,1581,344,1972,226
Charlotte,227,722,531,0,590,436,930,1358,533,2288,927,428,2119,2119,521,654,660,940,650,534,940,464,448,1781,2287,2243,1102,588,1726,330
Chicago,590,852,716,590,0,310,804,918,234,1844,942,167,1743,1743,484,1193,81,354,836,714,692,988,667,1451,1754,1789,1051,438,1257,597
Cleveland,555,550,406,436,310,0,1026,1227,115,2154,1116,263,2049,2049,631,1090,336,631,926,404,951,896,359,1748,2052,2099,1256,189,1567,305
Dallas,721,1551,1373,930,804,1026,0,663,1008,1470,227,764,1240,1240,420,1112,858,864,443,1374,189,963,1298,885,1632,1440,252,1204,1000,1184
Denver,1212,1768,1632,1358,918,1227,663,0,1147,936,881,1001,832,832,880,1728,914,699,1082,1630,506,1552,1578,586,981,887,805,1345,371,1493
Detroit,622,621,498,533,234,115,1008,1147,0,2067,1120,253,1975,1975,638,1183,238,524,960,496,913,985,462,1685,1948,2010,1247,206,1478,418
Golden State,2126,2685,2560,2288,1844,2154,1470,936,2067,0,1633,1936,338,338,1789,2581,1830,1573,1912,2558,1376,2428,2509,642,539,72,1480,2257,589,2428
Houston,701,1606,1420,927,942,1116,227,881,1120,1633,0,867,1374,1374,485,968,1008,1060,317,1421,415,848,1340,1016,1836,1611,186,1303,1202,1220
Indiana,427,806,646,428,167,263,764,1001,253,1936,867,0,1809,1809,385,1027,245,512,714,645,689,823,583,1498,1883,1885,998,441,1356,492
LA Clippers,1936,2595,2452,2119,1743,2049,1240,832,1975,338,1374,1809,0,0,1603,2339,1744,1524,1672,2450,1181,2201,2392,359,828,366,1207,2175,582,2299
Los Angeles,1936,2595,2452,2119,1743,2049,1240,832,1975,338,1374,1809,0,0,1603,2339,1744,1524,1672,2450,1181,2201,2392,359,828,366,1207,2175,582,2299
Memphis,336,1136,956,521,484,631,420,880,638,1789,485,385,1603,1603,0,873,559,702,359,956,422,683,879,1261,1848,1749,629,818,1250,764
Miami,607,1259,1091,654,1193,1090,1112,1728,1183,2581,968,1027,2339,2339,873,0,1271,1515,670,1095,1227,204,1019,1981,2707,2552,1145,1236,2090,926
Milwaukee,670,857,736,660,81,336,858,914,238,1830,1008,245,1744,1744,559,1271,0,298,914,733,733,1067,695,1463,1716,1772,1108,431,1240,637
Minnesota,909,1122,1020,940,354,631,864,699,524,1573,1060,512,1524,1524,702,1515,298,0,298,914,733,1067,695,1463,1716,1772,1108,431,1240,637
New Orleans,425,1360,1170,650,836,926,443,1082,960,1912,317,714,1672,1672,359,670,914,1054,0,1172,576,534,1088,1314,2062,1884,503,1795,1434,967
New York,749,188,5,534,714,404,1374,1630,496,2558,1421,645,2450,2450,956,1095,733,1018,1172,0,1327,943,86,2143,2441,2502,1582,341,1970,206
Oklahoma City,756,1494,1327,940,692,951,189,506,913,1376,415,689,1181,1181,422,1227,733,695,576,1327,0,1059,1257,841,1486,1339,421,1117,863,1152
Orlando,403,1117,939,464,988,896,963,1552,985,2428,848,823,2201,2201,683,204,1067,1311,534,943,1059,0,862,1844,2528,2395,1033,1051,1918,759
Philadelphia,664,274,83,448,667,359,1298,1578,462,2509,1340,583,2392,2392,879,1019,695,986,1088,86,1257,862,0,2080,2409,2455,1502,338,1923,121
Phoenix,1590,2298,2144,1781,1451,1748,885,586,1685,642,1016,1498,359,359,1261,1981,1463,1280,1314,2143,841,1844,2080,0,1007,639,850,1889,507,1981
Portland,2170,2535,2444,2287,1754,2052,1632,981,1948,539,1836,1883,828,828,1848,2707,1716,1424,2062,2441,1486,2528,2409,1007,0,480,1723,2110,635,2350
Sacramento,2085,2627,2504,2243,1789,2099,1440,887,2010,72,1611,1885,366,366,1749,2552,1772,1512,1884,2502,1339,2395,2455,639,480,0,1463,2198,532,2375
San Antonio,879,1764,1581,1102,1051,1256,252,805,1247,1480,186,998,1207,1207,629,1145,1108,1112,503,1582,421,1033,1502,850,1723,1463,0,1439,1091,1385
Toronto,735,430,344,588,438,189,1204,1345,206,2257,1303,441,2175,2175,818,1236,431,693,1795,341,1117,1051,338,1889,2110,2198,1439,0,1667,350
Utah,1582,2096,1972,1726,1257,1567,1000,371,1478,589,1202,1356,582,582,1250,2090,1240,985,1434,1970,863,1918,1923,507,635,532,1091,1667,0,1845
Washington,543,394,226,330,597,305,1184,1493,418,2428,1220,492,2299,2299,764,926,637,934,967,206,1152,759,121,1981,2350,2375,1385,350,1845,0